2019-04-25 15:13:01,794 [DEBUG] main.cpp:13 | test
2019-04-25 15:13:02,830 [ERROR] connectctrl.cpp:66 | connect error. error : 10061 connect should be asynchronous to avoid timeout.
2019-04-25 15:13:02,832 [ERROR] connectctrl.cpp:67 | remember add error event.
2019-04-25 15:13:05,831 [ERROR] connectctrl.cpp:66 | connect error. error : 10061 connect should be asynchronous to avoid timeout.
2019-04-25 15:13:05,834 [ERROR] connectctrl.cpp:67 | remember add error event.
2019-04-25 15:13:08,831 [ERROR] connectctrl.cpp:66 | connect error. error : 10061 connect should be asynchronous to avoid timeout.
2019-04-25 15:13:08,835 [ERROR] connectctrl.cpp:67 | remember add error event.
2019-04-25 15:13:11,832 [ERROR] connectctrl.cpp:66 | connect error. error : 10061 connect should be asynchronous to avoid timeout.
2019-04-25 15:13:11,836 [ERROR] connectctrl.cpp:67 | remember add error event.
2019-04-25 15:13:44,802 [DEBUG] main.cpp:13 | test
2019-04-25 15:13:45,341 [DEBUG] connectctrl.cpp:71 | connect 10.93.186.63:8089 successful!!!
2019-04-25 15:13:47,839 [DEBUG] connectctrl.cpp:71 | connect 10.93.186.63:8089 successful!!!
2019-04-25 15:13:50,841 [DEBUG] connectctrl.cpp:71 | connect 10.93.186.63:8089 successful!!!
2019-04-25 15:13:53,842 [DEBUG] connectctrl.cpp:71 | connect 10.93.186.63:8089 successful!!!
2019-04-25 15:13:56,843 [DEBUG] connectctrl.cpp:71 | connect 10.93.186.63:8089 successful!!!
2019-04-25 15:13:59,843 [DEBUG] connectctrl.cpp:71 | connect 10.93.186.63:8089 successful!!!
2019-04-25 15:14:02,846 [DEBUG] connectctrl.cpp:71 | connect 10.93.186.63:8089 successful!!!
2019-04-25 15:14:05,846 [DEBUG] connectctrl.cpp:71 | connect 10.93.186.63:8089 successful!!!
2019-04-25 15:14:08,847 [DEBUG] connectctrl.cpp:71 | connect 10.93.186.63:8089 successful!!!
