2019-04-19 16:00:45,237 [ERROR]:66 | connect error. error : 10061 connect should be asynchronous to avoid timeout.
2019-04-19 16:00:45,241 [ERROR]:67 | remember add error event.
2019-04-19 16:02:09,922 [DEBUG]:13 | test
2019-04-19 16:02:10,966 [ERROR]:66 | connect error. error : 10061 connect should be asynchronous to avoid timeout.
2019-04-19 16:02:10,969 [ERROR]:67 | remember add error event.
2019-04-19 16:03:40,458 [DEBUG]:13 | test
2019-04-19 16:08:48,524 [[DEBUG]] d:\c++code\wind\client\main.cpp:13 | test
2019-04-19 16:08:49,559 [[ERROR]] d:\c++code\wind\windwinnet\connectctrl.cpp:66 | connect error. error : 10061 connect should be asynchronous to avoid timeout.
2019-04-19 16:08:49,564 [[ERROR]] d:\c++code\wind\windwinnet\connectctrl.cpp:67 | remember add error event.
2019-04-19 16:13:16,386 [[DEBUG]] \main.cpp:13 | test
2019-04-19 16:13:17,424 [[ERROR]] \connectctrl.cpp:66 | connect error. error : 10061 connect should be asynchronous to avoid timeout.
2019-04-19 16:13:17,428 [[ERROR]] \connectctrl.cpp:67 | remember add error event.
2019-04-19 16:14:44,74 [[DEBUG]] main.cpp:13 | test
2019-04-19 16:14:45,113 [[ERROR]] connectctrl.cpp:66 | connect error. error : 10061 connect should be asynchronous to avoid timeout.
2019-04-19 16:14:45,117 [[ERROR]] connectctrl.cpp:67 | remember add error event.
2019-04-19 16:15:08,215 [DEBUG] main.cpp:13 | test
2019-04-19 16:15:09,260 [ERROR] connectctrl.cpp:66 | connect error. error : 10061 connect should be asynchronous to avoid timeout.
2019-04-19 16:15:09,263 [ERROR] connectctrl.cpp:67 | remember add error event.
2019-04-19 16:20:29,111 [DEBUG] main.cpp:13 | test
2019-04-19 16:20:31,616 [ERROR] connectctrl.cpp:66 | connect error. error : 10061 connect should be asynchronous to avoid timeout.
2019-04-19 16:20:31,623 [ERROR] connectctrl.cpp:67 | remember add error event.
